id,title,description,category,scraped_at,source_page
1,Home,"MEAL KITS PROVEN
TO BUILD HEALTHY
EATING HABITS",General,20250927_131708,https://www.greenchef.com/ 
2,Pork Filet with Almonds & Dates,"roasted cauliflower & Brussels sprouts, cardamom-spiced yogurt",General,20250927_131708,https://www.greenchef.com/?page=3 
3,Organic Chicken with Parmesan Squash Noodles,"tomato caper pan sauce, broccoli, hazelnuts, basil pesto",General,20250927_131708,https://www.greenchef.com/?page=3 
4,Pork Filet with Lemon Dill Sauce,"almond & date couscous, sautéed summer squash & grape tomatoes",General,20250927_131708,https://www.greenchef.com/?page=3
5,Moroccan Chicken & Kale Quinoa Bowls,"carrot ribbons, dates, feta, schug sauce",General,20250927_131708,https://www.greenchef.com/?page=3
6,How It Works,We source 100% renewable electricity … offset 100% of our delivery emissions and plastic … enjoy nutritionist-approved recipes,Info,20251015_150000,https://www.greenchef.com/about/how-it-works GreenChef
7,Weekly Menus & Plans,"Tailor your culinary experience with 80+ weekly menu items across Keto, Plant-Based, Gluten-Free, etc.",Plans,20251015_150000,https://www.greenchef.com/about/menus-and-plans GreenChef
8,Our Commitment to Sustainability,"We use 100% renewable electricity, offset delivery emissions & plastic, partner with Plastic Bank, choose organic ingredients",Sustainability,20251015_150000,https://www.greenchef.com/about/green-practices GreenChef
9,Green Chef Meal Plan Delivery,"Choose a plan, get kits delivered, cook & enjoy — flexible menu, organic produce & proteins",Plans,20251015_150000,https://www.greenchef.com/eat/meal-plan-delivery-service GreenChef
10,Nutrition Standards Guide,"Combine chef & dietitian expertise: balanced meals, nutrition tags, transparent labels",Info,20251015_150000,https://www.greenchef.com/about/nutrition-standards-guide GreenChef
11,Keto 101: Recipes & Ideas,"Keto breakfast, lunch, dinner ideas with GreenChef’s recipes & tips",Diet,20251015_150000,https://www.greenchef.com/eat/keto-101/keto-recipes-and-dinner-ideas GreenChef
12,Plant-Based Diets 101,"Guide to plant-based recipes, tips for vegan/vegetarian meals",Diet,20251015_150000,https://www.greenchef.com/eat/plant-based-diets-101/plant-based-recipes GreenChef
13,Eating a Balanced Diet,"Advice on variety, portion sizes, meal planning, how GreenChef supports balanced eating",Health,20251015_150000,https://www.greenchef.com/eat/staying-healthy/how-to-keep-a-balanced-diet GreenChef
14,Organic vs Non-Organic Foods,"Explanation of organic vs non-organic, benefits, and mindful choices",Lifestyle,20251015_150000,https://www.greenchef.com/eat/organic-lifestyle/organic-vs-non-organic GreenChef
15,Food Safety & FAQs,FAQ section covering food safety and general questions,FAQ,20251015_150000,https://www.greenchef.com/about/faq GreenChef
16,Carbon Footprint Reduction,Our carbon footprint is 31% lower than supermarket meals; we reduce food waste by up to 45%,Sustainability,20251015_150000,https://www.greenchef.com/about/green-practices GreenChef
17,How Subscription Works,You can change or cancel your plan up to 5 days before delivery; pause weeks,Info,20251015_150000,https://www.greenchef.com/about/how-it-works GreenChef
18,Choosing Organic Ingredients,"We’re first CCOF-certified organic, but when not possible we use high quality conventional options",Sustainability,20251015_150000,https://www.greenchef.com/about/green-practices GreenChef
19,Why Green Chef,"Cleaner & Greener: organic produce, premium proteins, sustainability aligned",Info,20251015_150000,https://www.greenchef.com/about/menus-and-plans GreenChef
20,Flexible Menu Every Week,"80+ changing options, new recipes weekly, customizable for dietary preferences",Plans,20251015_150000,https://www.greenchef.com/about/menus-and-plans GreenChef
21,Chicken Parmesan with Spaghetti,"Crispy chicken cutlets topped with marinara and mozzarella, served over tender spaghetti",General,20251016_150000,https://www.hellofresh.ca/recipes/chicken-parmesan-with-spaghetti-65432a1a
22,Beef Bulgogi Bowls,"Korean-style beef with jasmine rice, sesame seeds, and sautéed veggies",General,20251016_150000,https://www.hellofresh.ca/recipes/beef-bulgogi-bowls-65432b2f
23,Creamy Mushroom Ravioli,Ravioli stuffed with mushrooms in a creamy garlic and spinach sauce,General,20251016_150000,https://www.hellofresh.ca/recipes/creamy-mushroom-ravioli-65432c3b
24,BBQ Pulled Pork Sandwiches,Slow-cooked BBQ pulled pork served on brioche buns with tangy coleslaw,General,20251016_150000,https://www.hellofresh.ca/recipes/bbq-pulled-pork-sandwiches-65432d4f
25,Veggie Tacos with Chipotle Crema,"Soft tortillas filled with roasted vegetables, beans, and smoky chipotle crema",General,20251016_150000,https://www.hellofresh.ca/recipes/veggie-tacos-with-chipotle-crema-65432e5a
26,Honey Garlic Glazed Salmon,"Pan-seared salmon with honey garlic glaze, jasmine rice, and crisp green beans",General,20251016_150000,https://www.hellofresh.ca/recipes/honey-garlic-glazed-salmon-65432f6b
27,Classic Shepherd’s Pie,Savoury ground beef and vegetables topped with creamy mashed potatoes,General,20251016_150000,https://www.hellofresh.ca/recipes/classic-shepherds-pie-6543307c
28,Thai Green Curry with Chicken,"Fragrant coconut curry with tender chicken, bamboo shoots, and jasmine rice",General,20251016_150000,https://www.hellofresh.ca/recipes/thai-green-curry-with-chicken-6543318d
29,Vegetarian Lentil Chili,"Hearty lentils, kidney beans, and vegetables simmered in rich chili sauce",General,20251016_150000,https://www.hellofresh.ca/recipes/vegetarian-lentil-chili-6543329f
30,Teriyaki Shrimp Stir-Fry,Shrimp and mixed veggies tossed in teriyaki sauce with jasmine rice,General,20251016_150000,https://www.hellofresh.ca/recipes/teriyaki-shrimp-stir-fry-654333aa
31,Chicken Satay Bowl with Quinoa & Snow Peas,"Peanut-style satay sauce with chicken, quinoa, snow peas & fresh veggies",General,20251016_150000,https://dinnerly.com/blog/international-recipes#chicken-satay-bowl
32,Mexican Beef Tostadas with Guacamole & Queso Fresco,"Crisp tostadas topped with seasoned beef, guacamole & queso fresco",General,20251016_150000,https://dinnerly.com/blog/international-recipes#mexican-beef-tostadas
33,Mac & Cheese Shepherd’s Pie,"A mash-and-bake of macaroni, beef & cheese in shepherd’s pie style",General,20251016_150000,https://dinnerly.com/blog/international-recipes#mac-shepherds-pie
